name,hash,progenitor_mass,rotational_velocity,magnetic_field_exponent,revival_time,metallicity,eos,direction,rotation,turbmixing_param
Bollig_2016,ml3f2vuquv,11.2 solMass,,,,,,,,
Bollig_2016,3e6onqe7tg,27.0 solMass,,,,,,,,
Fornax_2019,edht7qkvcz,9.0 solMass,,,,,,,,
Fornax_2019,y2s4ap5ri7,10.0 solMass,,,,,,,,
Fornax_2019,pag7ev4zol,12.0 solMass,,,,,,,,
Fornax_2019,fpouvm3vle,13.0 solMass,,,,,,,,
Fornax_2019,ilxmlzarwe,14.0 solMass,,,,,,,,
Fornax_2019,4biiy44pyp,15.0 solMass,,,,,,,,
Fornax_2019,cwitqdigsa,16.0 solMass,,,,,,,,
Fornax_2019,oyqhgvnami,19.0 solMass,,,,,,,,
Fornax_2019,isiocv76bi,25.0 solMass,,,,,,,,
Fornax_2019,sgygez7dcy,60.0 solMass,,,,,,,,
Fornax_2021,37k7q2uyjt,12.0 solMass,,,,,,,,
Fornax_2021,nwm4h5f3z3,13.0 solMass,,,,,,,,
Fornax_2021,wpycv2yqsz,14.0 solMass,,,,,,,,
Fornax_2021,dyfyyfrsml,15.0 solMass,,,,,,,,
Fornax_2021,govzff6md4,16.0 solMass,,,,,,,,
Fornax_2021,ngiqgkcrri,17.0 solMass,,,,,,,,
Fornax_2021,hkv5tlqo6d,18.0 solMass,,,,,,,,
Fornax_2021,bckjkqs6ca,19.0 solMass,,,,,,,,
Fornax_2021,che77bw36q,20.0 solMass,,,,,,,,
Fornax_2021,d35q4wu674,21.0 solMass,,,,,,,,
Fornax_2021,5v4uyaodvw,22.0 solMass,,,,,,,,
Fornax_2021,6uwm66vvn2,23.0 solMass,,,,,,,,
Fornax_2021,bi57y4ksjo,25.0 solMass,,,,,,,,
Fornax_2021,2qvwtp33gx,26.0 solMass,,,,,,,,
Fornax_2021,wora3bx3y7,26.99 solMass,,,,,,,,
Kuroda_2020,6sbgajmt6b,,0.0 rad / s,0.0,,,,,,
Kuroda_2020,wefra6ex4s,,1.0 rad / s,12.0,,,,,,
Kuroda_2020,3vvudpqfsz,,1.0 rad / s,13.0,,,,,,
Nakazato_2013,5d3orvzp4n,13.0 solMass,,,100.0 ms,0.02,shen,,,
Nakazato_2013,l5mq5h2vhm,13.0 solMass,,,100.0 ms,0.004,shen,,,
Nakazato_2013,52zn26clgi,13.0 solMass,,,200.0 ms,0.02,shen,,,
Nakazato_2013,eolj4ymkp3,13.0 solMass,,,200.0 ms,0.004,shen,,,
Nakazato_2013,nald2f2fu3,13.0 solMass,,,300.0 ms,0.02,shen,,,
Nakazato_2013,aerkq6xwrg,13.0 solMass,,,300.0 ms,0.004,shen,,,
Nakazato_2013,syql3ck3mp,20.0 solMass,,,100.0 ms,0.02,shen,,,
Nakazato_2013,n67kl3nxye,20.0 solMass,,,100.0 ms,0.004,shen,,,
Nakazato_2013,2yzfnusuj3,20.0 solMass,,,200.0 ms,0.02,shen,,,
Nakazato_2013,25nxcvhkad,20.0 solMass,,,200.0 ms,0.004,shen,,,
Nakazato_2013,hqibsqjvpt,20.0 solMass,,,300.0 ms,0.02,shen,,,
Nakazato_2013,xgi3vuzgwz,20.0 solMass,,,300.0 ms,0.004,shen,,,
Nakazato_2013,qhascq5ysp,30.0 solMass,,,0.0 ms,0.004,LS220,,,
Nakazato_2013,rrzuqp7bnr,30.0 solMass,,,0.0 ms,0.004,shen,,,
Nakazato_2013,36xv2hupfo,30.0 solMass,,,0.0 ms,0.004,togashi,,,
Nakazato_2013,6hw54442kc,30.0 solMass,,,100.0 ms,0.02,shen,,,
Nakazato_2013,ac6a4z6hj7,30.0 solMass,,,200.0 ms,0.02,shen,,,
Nakazato_2013,54ycz5in4z,30.0 solMass,,,300.0 ms,0.02,shen,,,
Nakazato_2013,5v25sajvic,50.0 solMass,,,100.0 ms,0.02,shen,,,
Nakazato_2013,voh2e7fu46,50.0 solMass,,,100.0 ms,0.004,shen,,,
Nakazato_2013,i2owbxywrf,50.0 solMass,,,200.0 ms,0.02,shen,,,
Nakazato_2013,xewodddqhc,50.0 solMass,,,200.0 ms,0.004,shen,,,
Nakazato_2013,2t3zyrcy7h,50.0 solMass,,,300.0 ms,0.02,shen,,,
Nakazato_2013,b65akymwud,50.0 solMass,,,300.0 ms,0.004,shen,,,
OConnor_2013,w4vjau4g64,12.0 solMass,,,,,HShen,,,
OConnor_2013,u5fkul6cpp,12.0 solMass,,,,,LS220,,,
OConnor_2013,uzzwxqiimh,13.0 solMass,,,,,HShen,,,
OConnor_2013,snukvlgoxj,13.0 solMass,,,,,LS220,,,
OConnor_2013,zfh4wmtyzr,14.0 solMass,,,,,HShen,,,
OConnor_2013,tlgqfiebvc,14.0 solMass,,,,,LS220,,,
OConnor_2013,dwteon42mz,15.0 solMass,,,,,HShen,,,
OConnor_2013,w3wjs5mlsa,15.0 solMass,,,,,LS220,,,
OConnor_2013,s5pt4cu2pz,16.0 solMass,,,,,HShen,,,
OConnor_2013,626dn3biii,16.0 solMass,,,,,LS220,,,
OConnor_2013,hw6dmvjslw,17.0 solMass,,,,,HShen,,,
OConnor_2013,xidqdozuxm,17.0 solMass,,,,,LS220,,,
OConnor_2013,husvpzbvak,18.0 solMass,,,,,HShen,,,
OConnor_2013,tyvfah2uyq,18.0 solMass,,,,,LS220,,,
OConnor_2013,glbvy334ti,19.0 solMass,,,,,HShen,,,
OConnor_2013,jzcabodswh,19.0 solMass,,,,,LS220,,,
OConnor_2013,zh22unghri,20.0 solMass,,,,,HShen,,,
OConnor_2013,o3t7dzlqqf,20.0 solMass,,,,,LS220,,,
OConnor_2013,uwypdaulby,21.0 solMass,,,,,HShen,,,
OConnor_2013,vbj7vhmhas,21.0 solMass,,,,,LS220,,,
OConnor_2013,mlwpy7ww2h,22.0 solMass,,,,,HShen,,,
OConnor_2013,o2s5hg2uaf,22.0 solMass,,,,,LS220,,,
OConnor_2013,aa5dlf7moi,23.0 solMass,,,,,HShen,,,
OConnor_2013,wgrbuwtoas,23.0 solMass,,,,,LS220,,,
OConnor_2013,77rvcetrxz,24.0 solMass,,,,,HShen,,,
OConnor_2013,i3p4ekf2fn,24.0 solMass,,,,,LS220,,,
OConnor_2013,pt3fkhdbj6,25.0 solMass,,,,,HShen,,,
OConnor_2013,vsmimnpu6e,25.0 solMass,,,,,LS220,,,
OConnor_2013,wuw6ebsthh,26.0 solMass,,,,,HShen,,,
OConnor_2013,77w2d4fk4m,26.0 solMass,,,,,LS220,,,
OConnor_2013,y44mljv423,27.0 solMass,,,,,HShen,,,
OConnor_2013,gi2xlvrwx4,27.0 solMass,,,,,LS220,,,
OConnor_2013,yzstwpdeej,28.0 solMass,,,,,HShen,,,
OConnor_2013,pgl33dpsdv,28.0 solMass,,,,,LS220,,,
OConnor_2013,lcusyvtopn,29.0 solMass,,,,,HShen,,,
OConnor_2013,i2claouwqp,29.0 solMass,,,,,LS220,,,
OConnor_2013,oagr4f6fkq,30.0 solMass,,,,,HShen,,,
OConnor_2013,knrpv7cq66,30.0 solMass,,,,,LS220,,,
OConnor_2013,j3rl6h557h,31.0 solMass,,,,,HShen,,,
OConnor_2013,oqievhccr4,31.0 solMass,,,,,LS220,,,
OConnor_2013,3fklr6wedk,32.0 solMass,,,,,HShen,,,
OConnor_2013,pae6ug3hbs,32.0 solMass,,,,,LS220,,,
OConnor_2013,2ssuly5ja2,33.0 solMass,,,,,HShen,,,
OConnor_2013,h2u6ihqaqj,33.0 solMass,,,,,LS220,,,
OConnor_2013,jugjbkrv2s,35.0 solMass,,,,,HShen,,,
OConnor_2013,6fgqfnmcer,35.0 solMass,,,,,LS220,,,
OConnor_2013,tmjvivwvkw,40.0 solMass,,,,,HShen,,,
OConnor_2013,blc77sxjup,40.0 solMass,,,,,LS220,,,
OConnor_2013,twfhu2oltz,45.0 solMass,,,,,HShen,,,
OConnor_2013,np4oztxhoc,45.0 solMass,,,,,LS220,,,
OConnor_2013,vqwztj7nqj,50.0 solMass,,,,,HShen,,,
OConnor_2013,ysmrcetvio,50.0 solMass,,,,,LS220,,,
OConnor_2013,3e2ymhv4jd,55.0 solMass,,,,,HShen,,,
OConnor_2013,3kjo4fxit7,55.0 solMass,,,,,LS220,,,
OConnor_2013,27x6j4egjo,60.0 solMass,,,,,HShen,,,
OConnor_2013,r6gvzadjwp,60.0 solMass,,,,,LS220,,,
OConnor_2013,v2x6uxjocl,70.0 solMass,,,,,HShen,,,
OConnor_2013,6j4vuyfq2o,70.0 solMass,,,,,LS220,,,
OConnor_2013,s5lc6xi7ub,80.0 solMass,,,,,HShen,,,
OConnor_2013,rf4xqghrab,80.0 solMass,,,,,LS220,,,
OConnor_2013,eawsv3ubgx,100.0 solMass,,,,,HShen,,,
OConnor_2013,eya2u7ddjr,100.0 solMass,,,,,LS220,,,
OConnor_2013,ypu5owck5x,120.0 solMass,,,,,HShen,,,
OConnor_2013,g36peguszs,120.0 solMass,,,,,LS220,,,
OConnor_2015,jsq2r5w4xk,40.0 solMass,,,,,,,,
Sukhbold_2015,bdkezj6yv6,27.0 solMass,,,,,LS220,,,
Sukhbold_2015,lkgnlyu2qk,27.0 solMass,,,,,SFHo,,,
Sukhbold_2015,yxfircbdbu,9.6 solMass,,,,,LS220,,,
Sukhbold_2015,divkesqv5j,9.6 solMass,,,,,SFHo,,,
Tamborra_2014,s54euhulwd,11.2 solMass,,,,,,1.0,,
Tamborra_2014,dfu6qqa5in,20.0 solMass,,,,,,1.0,,
Tamborra_2014,l5bmrk2lo4,27.0 solMass,,,,,,1.0,,
Tamborra_2014,l5bmrk2lo4,27.0 solMass,,,,,,2.0,,
Tamborra_2014,l5bmrk2lo4,27.0 solMass,,,,,,3.0,,
Walk_2018,4xxgbd7hei,15.0 solMass,,,,,,1.0,fast,
Walk_2018,4xxgbd7hei,15.0 solMass,,,,,,2.0,fast,
